1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.566756	0.000000	14.377261	0.014914	3218.2
1	-0.567730	0.000000	14.377261	0.009259	433.3
2	-0.568062	0.000000	14.377261	0.006252	496.3
3	-0.568302	0.000000	14.377261	0.003485	392.2
4	-0.568349	0.000000	14.377261	0.001257	398.0
5	-0.568326	0.000000	14.377261	0.000687	469.1
6	-0.568314	0.000000	14.377261	0.000481	521.2
7	-0.568308	0.000000	14.377261	0.000365	412.7
8	-0.568305	0.000000	14.377261	0.000283	426.0
9	-0.568303	0.000000	14.377261	0.000220	457.0
10	-0.568303	0.000000	14.377261	0.000172	471.8
11	-0.568303	0.000000	14.377261	0.000134	470.4
12	-0.568304	0.000000	14.377261	0.000105	424.3
13	-0.568304	0.000000	14.377261	0.000082	433.1
14	-0.568304	0.000000	14.377261	0.000064	443.1
15	-0.568304	0.000000	14.377261	0.000050	467.5
16	-0.568304	0.000000	14.377261	0.000040	478.6
17	-0.568304	0.000000	14.377261	0.000031	529.7
18	-0.568304	0.000000	14.377261	0.000025	417.2
19	-0.568304	0.000000	14.377261	0.000020	527.3
20	-0.568304	0.000000	14.377261	0.000016	477.8
21	-0.568304	0.000000	14.377261	0.000012	549.2
22	-0.568304	0.000000	14.377261	0.000010	471.2
23	-0.568304	0.000000	14.377261	0.000008	434.3
24	-0.568304	0.000000	14.377261	0.000006	464.7
25	-0.568304	0.000000	14.377261	0.000005	432.0
26	-0.568304	0.000000	14.377261	0.000004	455.4
27	-0.568304	0.000000	14.377261	0.000003	444.1
28	-0.568304	0.000000	14.377261	0.000003	459.8
29	-0.568304	0.000000	14.377261	0.000002	450.9
30	-0.568304	0.000000	14.377261	0.000002	538.7
31	-0.568304	0.000000	14.377261	0.000001	468.3
32	-0.568304	0.000000	14.377261	0.000001	436.2
33	-0.568304	0.000000	14.377261	0.000001	420.7
34	-0.568304	0.000000	14.377261	0.000001	391.6
35	-0.568304	0.000000	14.377261	0.000001	428.3
36	-0.568304	0.000000	14.377261	0.000001	479.4
37	-0.568304	0.000000	14.377261	0.000000	420.8
38	-0.568304	0.000000	14.377261	0.000000	433.6
39	-0.568304	0.000000	14.377261	0.000000	450.4
40	-0.568304	0.000000	14.377261	0.000000	486.6
41	-0.568304	0.000000	14.377261	0.000000	520.9
42	-0.568304	0.000000	14.377261	0.000000	524.5
43	-0.568304	0.000000	14.377261	0.000000	447.1
44	-0.568304	0.000000	14.377261	0.000000	479.6
45	-0.568304	0.000000	14.377261	0.000000	460.6
46	-0.568304	0.000000	14.377261	0.000000	481.2
47	-0.568304	0.000000	14.377261	0.000000	459.2
48	-0.568304	0.000000	14.377261	0.000000	471.0
49	-0.568304	0.000000	14.377261	0.000000	514.9
50	-0.568304	0.000000	14.377261	0.000000	388.9
51	-0.568304	0.000000	14.377261	0.000000	406.5
52	-0.568304	0.000000	14.377261	0.000000	468.1
53	-0.568304	0.000000	14.377261	0.000000	394.3
54	-0.568304	0.000000	14.377261	0.000000	436.6
55	-0.568304	0.000000	14.377261	0.000000	407.4
56	-0.568304	0.000000	14.377261	0.000000	498.3
57	-0.568304	0.000000	14.377261	0.000000	423.0
58	-0.568304	0.000000	14.377261	0.000000	484.7
59	-0.568304	0.000000	14.377261	0.000000	433.9
60	-0.568304	0.000000	14.377261	0.000000	472.2
61	-0.568304	0.000000	14.377261	0.000000	453.5
62	-0.568304	0.000000	14.377261	0.000000	524.5
63	-0.568304	0.000000	14.377261	0.000000	488.1
64	-0.568304	0.000000	14.377261	0.000000	443.3
65	-0.568304	0.000000	14.377261	0.000000	462.7
66	-0.568304	0.000000	14.377261	0.000000	447.5
67	-0.568304	0.000000	14.377261	0.000000	481.1
68	-0.568304	0.000000	14.377261	0.000000	461.9
69	-0.568304	0.000000	14.377261	0.000000	489.6
70	-0.568304	0.000000	14.377261	0.000000	487.2
71	-0.568304	0.000000	14.377261	0.000000	406.0
72	-0.568304	0.000000	14.377261	0.000000	412.7
73	-0.568304	0.000000	14.377261	0.000000	396.0
74	-0.568304	0.000000	14.377261	0.000000	455.9
75	-0.568304	0.000000	14.377261	0.000000	449.4
76	-0.568304	0.000000	14.377261	0.000000	422.3
