1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.672725	0.000000	24.538569	0.017171	83.9
1	-0.679096	0.000000	24.538569	0.017180	6.8
2	-0.684494	0.000000	24.538569	0.013412	7.3
3	-0.687541	0.000000	24.538569	0.011023	5.8
4	-0.689285	0.000000	24.538569	0.008540	7.3
5	-0.690171	0.000000	24.538569	0.006719	19.8
6	-0.690522	0.000000	24.538569	0.005202	14.5
7	-0.690607	0.000000	24.538569	0.004220	10.3
8	-0.690570	0.000000	24.538569	0.003597	7.9
9	-0.690567	0.000000	24.538569	0.003267	9.1
10	-0.690480	0.000000	24.538569	0.002890	14.2
11	-0.690383	0.000000	24.538569	0.002654	14.6
12	-0.690248	0.000000	24.538569	0.002388	117.4
13	-0.690022	0.000000	24.538569	0.002201	12.4
14	-0.689825	0.000000	24.538569	0.002130	8.4
15	-0.689692	0.000000	24.538569	0.001982	12.5
16	-0.689564	0.000000	24.538569	0.002119	11.0
17	-0.689388	0.000000	24.538569	0.002009	8.3
18	-0.689199	0.000000	24.538569	0.001978	7.8
19	-0.689102	0.000000	24.538569	0.001920	21.0
20	-0.688963	0.000000	24.538569	0.001757	9.3
21	-0.688848	0.000000	24.538569	0.001771	5.8
22	-0.688732	0.000000	24.538569	0.001691	5.1
23	-0.688631	0.000000	24.538569	0.001559	6.2
24	-0.688545	0.000000	24.538569	0.001610	4.6
25	-0.688479	0.000000	24.538569	0.001488	5.0
26	-0.688407	0.000000	24.538569	0.001396	5.8
27	-0.688350	0.000000	24.538569	0.001337	4.8
28	-0.688291	0.000000	24.538569	0.001275	4.5
29	-0.688267	0.000000	24.538569	0.001143	6.4
30	-0.688277	0.000000	24.538569	0.001083	4.7
31	-0.688295	0.000000	24.538569	0.000980	5.5
32	-0.688310	0.000000	24.538569	0.000915	6.1
33	-0.688333	0.000000	24.538569	0.000917	4.8
34	-0.688367	0.000000	24.538569	0.000935	6.5
35	-0.688391	0.000000	24.538569	0.000841	6.0
36	-0.688384	0.000000	24.538569	0.000767	6.6
37	-0.688404	0.000000	24.538569	0.000688	5.7
38	-0.688423	0.000000	24.538569	0.000616	6.8
39	-0.688460	0.000000	24.538569	0.000572	17.7
40	-0.688516	0.000000	24.538569	0.000519	9.9
