1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.609946	0.000000	35.104479	0.010427	273.9
1	-0.611607	0.000000	35.104479	0.006114	27.1
2	-0.611942	0.000000	35.104479	0.004766	49.4
3	-0.612137	0.000000	35.104479	0.004129	29.8
4	-0.612528	0.000000	35.104479	0.003456	56.5
5	-0.612765	0.000000	35.104479	0.002925	38.0
6	-0.612907	0.000000	35.104479	0.002478	39.1
7	-0.612981	0.000000	35.104479	0.002119	32.8
8	-0.613009	0.000000	35.104479	0.001816	35.8
9	-0.613002	0.000000	35.104479	0.001548	23.7
10	-0.612979	0.000000	35.104479	0.001312	54.9
11	-0.612934	0.000000	35.104479	0.001133	13.5
12	-0.612888	0.000000	35.104479	0.000997	19.9
13	-0.612836	0.000000	35.104479	0.000895	50.4
14	-0.612792	0.000000	35.104479	0.000784	25.1
15	-0.612741	0.000000	35.104479	0.000698	35.4
16	-0.612691	0.000000	35.104479	0.000597	34.0
17	-0.612647	0.000000	35.104479	0.000538	36.8
18	-0.612604	0.000000	35.104479	0.000513	34.0
19	-0.612566	0.000000	35.104479	0.000465	25.6
20	-0.612527	0.000000	35.104479	0.000418	28.2
21	-0.612497	0.000000	35.104479	0.000366	31.3
22	-0.612470	0.000000	35.104479	0.000359	27.7
23	-0.612446	0.000000	35.104479	0.000340	27.1
24	-0.612423	0.000000	35.104479	0.000327	46.9
25	-0.612407	0.000000	35.104479	0.000340	56.9
26	-0.612392	0.000000	35.104479	0.000299	24.0
27	-0.612380	0.000000	35.104479	0.000274	21.0
28	-0.612373	0.000000	35.104479	0.000258	49.8
29	-0.612366	0.000000	35.104479	0.000292	56.1
30	-0.612360	0.000000	35.104479	0.000314	38.2
31	-0.612355	0.000000	35.104479	0.000311	37.8
32	-0.612352	0.000000	35.104479	0.000287	45.0
33	-0.612348	0.000000	35.104479	0.000291	24.9
34	-0.612343	0.000000	35.104479	0.000278	43.2
35	-0.612341	0.000000	35.104479	0.000282	21.9
36	-0.612337	0.000000	35.104479	0.000345	49.9
37	-0.612341	0.000000	35.104479	0.000409	21.1
38	-0.612348	0.000000	35.104479	0.000416	30.4
39	-0.612347	0.000000	35.104479	0.000449	51.5
40	-0.612351	0.000000	35.104479	0.000459	28.6
41	-0.612352	0.000000	35.104479	0.000485	35.2
42	-0.612352	0.000000	35.104479	0.000479	14.1
43	-0.612353	0.000000	35.104479	0.000477	19.1
44	-0.612350	0.000000	35.104479	0.000461	38.0
45	-0.612345	0.000000	35.104479	0.000432	37.5
46	-0.612340	0.000000	35.104479	0.000411	36.9
47	-0.612333	0.000000	35.104479	0.000389	47.0
48	-0.612329	0.000000	35.104479	0.000392	23.9
49	-0.612317	0.000000	35.104479	0.000397	38.5
50	-0.612316	0.000000	35.104479	0.000395	12.2
51	-0.612304	0.000000	35.104479	0.000353	15.7
52	-0.612294	0.000000	35.104479	0.000336	43.1
53	-0.612293	0.000000	35.104479	0.000340	41.9
54	-0.612264	0.000000	35.104479	0.000328	28.4
55	-0.612251	0.000000	35.104479	0.000315	38.3
56	-0.612235	0.000000	35.104479	0.000306	19.8
57	-0.612216	0.000000	35.104479	0.000304	55.4
