1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.672725	0.000000	24.538569	0.017171	90.5
1	-0.679096	0.000000	24.538569	0.017180	2.6
2	-0.684494	0.000000	24.538569	0.013412	46.3
3	-0.687541	0.000000	24.538569	0.011023	7.5
4	-0.689285	0.000000	24.538569	0.008540	2.4
5	-0.690171	0.000000	24.538569	0.006719	18.3
6	-0.690522	0.000000	24.538569	0.005202	2.3
7	-0.690607	0.000000	24.538569	0.004220	15.3
8	-0.690570	0.000000	24.538569	0.003597	32.6
9	-0.690567	0.000000	24.538569	0.003267	7.7
10	-0.690480	0.000000	24.538569	0.002890	2.4
11	-0.690383	0.000000	24.538569	0.002654	2.5
12	-0.690248	0.000000	24.538569	0.002388	14.4
13	-0.690022	0.000000	24.538569	0.002201	33.4
14	-0.689825	0.000000	24.538569	0.002130	21.7
15	-0.689692	0.000000	24.538569	0.001982	2.4
16	-0.689564	0.000000	24.538569	0.002119	2.2
17	-0.689388	0.000000	24.538569	0.002009	14.3
18	-0.689199	0.000000	24.538569	0.001978	2.2
19	-0.689102	0.000000	24.538569	0.001920	27.1
20	-0.688963	0.000000	24.538569	0.001757	26.8
21	-0.688848	0.000000	24.538569	0.001771	2.6
22	-0.688732	0.000000	24.538569	0.001691	2.3
23	-0.688631	0.000000	24.538569	0.001559	17.1
24	-0.688545	0.000000	24.538569	0.001610	2.3
25	-0.688479	0.000000	24.538569	0.001488	36.8
26	-0.688407	0.000000	24.538569	0.001396	15.3
27	-0.688350	0.000000	24.538569	0.001337	2.3
28	-0.688291	0.000000	24.538569	0.001275	15.0
29	-0.688267	0.000000	24.538569	0.001143	2.8
30	-0.688277	0.000000	24.538569	0.001083	2.4
31	-0.688295	0.000000	24.538569	0.000980	13.8
32	-0.688310	0.000000	24.538569	0.000915	38.3
33	-0.688333	0.000000	24.538569	0.000917	2.5
34	-0.688367	0.000000	24.538569	0.000935	2.7
35	-0.688391	0.000000	24.538569	0.000841	2.4
36	-0.688384	0.000000	24.538569	0.000767	16.0
37	-0.688404	0.000000	24.538569	0.000688	24.1
38	-0.688423	0.000000	24.538569	0.000616	29.5
39	-0.688460	0.000000	24.538569	0.000572	2.7
40	-0.688516	0.000000	24.538569	0.000519	2.2
41	-0.688552	0.000000	24.538569	0.000467	13.5
42	-0.688579	0.000000	24.538569	0.000437	2.1
43	-0.688625	0.000000	24.538569	0.000426	2.2
44	-0.688642	0.000000	24.538569	0.000377	45.6
45	-0.688640	0.000000	24.538569	0.000349	12.6
46	-0.688648	0.000000	24.538569	0.000355	13.7
47	-0.688646	0.000000	24.538569	0.000358	29.5
48	-0.688645	0.000000	24.538569	0.000328	21.3
49	-0.688644	0.000000	24.538569	0.000301	2.3
50	-0.688652	0.000000	24.538569	0.000265	2.3
51	-0.688650	0.000000	24.538569	0.000236	19.6
52	-0.688639	0.000000	24.538569	0.000213	2.3
53	-0.688628	0.000000	24.538569	0.000183	45.0
54	-0.688627	0.000000	24.538569	0.000169	8.2
55	-0.688616	0.000000	24.538569	0.000172	2.2
56	-0.688615	0.000000	24.538569	0.000148	14.4
57	-0.688614	0.000000	24.538569	0.000139	35.1
58	-0.688632	0.000000	24.538569	0.000120	17.8
59	-0.688631	0.000000	24.538569	0.000118	14.1
60	-0.688630	0.000000	24.538569	0.000090	2.5
61	-0.688629	0.000000	24.538569	0.000078	2.6
62	-0.688629	0.000000	24.538569	0.000070	29.8
63	-0.688628	0.000000	24.538569	0.000063	19.8
64	-0.688628	0.000000	24.538569	0.000057	2.8
65	-0.688627	0.000000	24.538569	0.000076	2.6
66	-0.688627	0.000000	24.538569	0.000060	2.2
67	-0.688627	0.000000	24.538569	0.000095	13.4
68	-0.688626	0.000000	24.538569	0.000085	2.3
69	-0.688625	0.000000	24.538569	0.000089	12.7
70	-0.688624	0.000000	24.538569	0.000085	39.5
71	-0.688623	0.000000	24.538569	0.000080	2.5
72	-0.688632	0.000000	24.538569	0.000044	2.4
73	-0.688631	0.000000	24.538569	0.000039	15.6
74	-0.688631	0.000000	24.538569	0.000034	2.4
75	-0.688631	0.000000	24.538569	0.000031	22.5
76	-0.688630	0.000000	24.538569	0.000028	31.5
77	-0.688630	0.000000	24.538569	0.000025	2.3
78	-0.688630	0.000000	24.538569	0.000023	11.9
79	-0.688639	0.000000	24.538569	0.000021	5.1
80	-0.688639	0.000000	24.538569	0.000019	30.9
81	-0.688639	0.000000	24.538569	0.000017	6.5
82	-0.688648	0.000000	24.538569	0.000015	2.6
83	-0.688648	0.000000	24.538569	0.000016	15.1
84	-0.688648	0.000000	24.538569	0.000014	2.4
85	-0.688648	0.000000	24.538569	0.000013	32.5
86	-0.688648	0.000000	24.538569	0.000012	19.2
87	-0.688648	0.000000	24.538569	0.000011	2.6
88	-0.688648	0.000000	24.538569	0.000010	2.3
89	-0.688647	0.000000	24.538569	0.000009	2.2
90	-0.688647	0.000000	24.538569	0.000009	15.8
91	-0.688647	0.000000	24.538569	0.000008	5.7
92	-0.688647	0.000000	24.538569	0.000008	31.4
93	-0.688647	0.000000	24.538569	0.000007	14.0
94	-0.688647	0.000000	24.538569	0.000006	14.9
95	-0.688647	0.000000	24.538569	0.000006	2.4
96	-0.688647	0.000000	24.538569	0.000006	2.3
97	-0.688647	0.000000	24.538569	0.000005	45.8
