1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.532515	42.770000	25.106430	0.000001	9.4
117	-0.532515	43.770000	24.718806	0.000001	9.4
118	-0.532515	43.760000	24.722623	0.000004	9.4
119	-0.532515	44.760000	24.346671	0.000003	10.0
120	-0.532515	45.760000	23.981981	0.000002	9.6
121	-0.532515	45.750000	23.985574	0.000004	9.8
122	-0.532515	46.750000	23.631543	0.000003	10.1
123	-0.532515	47.750000	23.287812	0.000001	9.8
124	-0.532515	48.750000	22.953936	0.000001	9.1
125	-0.532515	49.750000	22.629499	0.000001	9.7
126	-0.532515	50.750000	22.314105	0.000001	9.0
127	-0.532515	51.750000	22.007382	0.000001	9.8
128	-0.532515	52.750000	21.708977	0.000001	9.3
129	-0.532515	53.750000	21.418556	0.000001	9.7
130	-0.532515	54.750000	21.135803	0.000001	9.8
131	-0.532515	55.750000	20.860418	0.000001	9.4
132	-0.532515	56.750000	20.592116	0.000001	10.2
133	-0.532515	57.750000	20.330629	0.000001	9.6
134	-0.532515	58.750000	20.075700	0.000001	9.5
135	-0.532515	59.750000	19.827084	0.000001	9.4
136	-0.532515	60.750000	19.584551	0.000001	9.7
137	-0.532515	61.750000	19.347880	0.000001	9.4
138	-0.532515	61.740000	19.350218	0.000004	9.3
139	-0.532515	62.740000	19.119143	0.000003	9.8
140	-0.532515	63.740000	18.893522	0.000002	9.6
141	-0.532515	63.730000	18.895752	0.000004	9.4
142	-0.532515	64.730000	18.675342	0.000003	9.7
143	-0.532515	65.730000	18.460014	0.000002	9.9
144	-0.532515	65.720000	18.462143	0.000004	9.4
145	-0.532515	66.720000	18.251676	0.000002	9.4
146	-0.532515	67.720000	18.045954	0.000002	9.4
147	-0.532515	67.710000	18.047988	0.000004	9.6
148	-0.532515	68.710000	17.846807	0.000003	9.3
149	-0.532515	69.710000	17.650061	0.000002	9.8
150	-0.532515	69.700000	17.652007	0.000004	9.6
151	-0.532515	70.700000	17.459510	0.000002	9.4
152	-0.532515	71.700000	17.271166	0.000002	9.3
153	-0.532515	71.690000	17.273029	0.000004	8.9
154	-0.532515	72.690000	17.088665	0.000002	9.6
155	-0.532515	73.690000	16.908196	0.000002	10.0
156	-0.532515	73.680000	16.909982	0.000004	9.3
157	-0.532515	74.680000	16.733247	0.000003	9.3
158	-0.532515	75.680000	16.560168	0.000002	9.2
159	-0.532515	75.670000	16.561881	0.000004	9.1
160	-0.532515	76.670000	16.392311	0.000002	9.6
161	-0.532515	77.670000	16.226179	0.000002	9.7
162	-0.532515	77.660000	16.227823	0.000004	9.6
163	-0.532515	78.660000	16.064991	0.000002	9.3
164	-0.532515	79.660000	15.905395	0.000002	9.1
165	-0.532515	79.650000	15.906975	0.000004	9.0
166	-0.532515	80.650000	15.750487	0.000003	9.8
167	-0.532515	81.650000	15.597049	0.000002	9.3
168	-0.532515	81.640000	15.598568	0.000004	9.5
169	-0.532515	82.640000	15.448061	0.000002	9.7
170	-0.532515	83.640000	15.300431	0.000002	9.8
171	-0.532515	83.630000	15.301893	0.000004	9.8
172	-0.532515	84.630000	15.157030	0.000002	9.4
173	-0.532515	85.630000	15.014884	0.000002	9.4
174	-0.532515	85.620000	15.016292	0.000004	9.4
175	-0.532515	86.620000	14.876761	0.000003	9.3
176	-0.532515	87.620000	14.739800	0.000002	9.3
177	-0.532515	87.610000	14.741157	0.000004	9.6
178	-0.532515	88.610000	14.606670	0.000002	9.8
179	-0.532515	89.610000	14.474614	0.000002	9.6
180	-0.532515	89.600000	14.475923	0.000004	9.7
181	-0.532515	90.600000	14.346210	0.000002	9.6
182	-0.532515	91.600000	14.218802	0.000002	9.2
183	-0.532515	91.590000	14.220064	0.000004	9.5
184	-0.532515	92.590000	14.094877	0.000003	9.4
185	-0.532515	93.590000	13.971874	0.000002	9.2
186	-0.532515	93.580000	13.973093	0.000004	9.4
187	-0.532515	94.580000	13.852198	0.000002	9.1
188	-0.532515	95.580000	13.733377	0.000002	9.3
189	-0.532515	95.570000	13.734555	0.000003	9.5
190	-0.532515	96.570000	13.617735	0.000002	9.8
191	-0.532515	97.570000	13.502885	0.000002	9.3
192	-0.532515	97.560000	13.504024	0.000004	9.8
193	-0.532515	98.560000	13.391076	0.000002	9.3
194	-0.532515	99.560000	13.280002	0.000002	9.2
195	-0.532515	99.550000	13.281104	0.000004	9.6
196	-0.532515	100.550000	13.171839	0.000002	9.6
197	-0.532515	101.550000	13.064358	0.000002	9.9
198	-0.532515	101.540000	13.065424	0.000003	9.3
199	-0.532515	102.540000	12.959665	0.000002	9.9
200	-0.532515	103.540000	12.855605	0.000002	9.6
201	-0.532515	103.530000	12.856637	0.000001	9.3
202	-0.532515	104.530000	12.754219	0.000001	9.6
203	-0.532515	105.530000	12.653419	0.000001	9.5
204	-0.532515	106.530000	12.554199	0.000001	9.1
205	-0.532515	107.530000	12.456524	0.000001	9.7
206	-0.532515	107.520000	12.457493	0.000001	9.8
207	-0.532515	108.520000	12.361311	0.000001	9.8
208	-0.532515	109.520000	12.266603	0.000001	9.9
209	-0.532515	110.520000	12.173335	0.000001	9.3
210	-0.532515	111.520000	12.081475	0.000001	9.5
211	-0.532515	112.520000	11.990991	0.000001	9.5
212	-0.532515	113.520000	11.901851	0.000001	9.3
213	-0.532515	114.520000	11.814028	0.000001	9.5
214	-0.532515	115.520000	11.727491	0.000001	9.8
215	-0.532515	116.520000	11.642212	0.000001	9.7
216	-0.532515	117.520000	11.558165	0.000001	9.5
217	-0.532515	117.510000	11.559000	0.000001	9.5
218	-0.532515	118.510000	11.476145	0.000001	9.5
219	-0.532515	119.510000	11.394471	0.000001	9.7
