1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.537790	0.000000	19.009164	0.021349	17.0
1	-0.545829	0.000000	19.009164	0.021151	2.2
2	-0.552984	0.000000	19.009164	0.018457	2.0
3	-0.558647	0.000000	19.009164	0.016874	2.1
4	-0.563210	0.000000	19.009164	0.016215	2.0
5	-0.567680	0.000000	19.009164	0.015777	2.1
6	-0.571664	0.000000	19.009164	0.012861	2.2
7	-0.574313	0.000000	19.009164	0.011198	2.1
8	-0.576270	0.000000	19.009164	0.010790	2.3
9	-0.578214	0.000000	19.009164	0.010793	2.2
10	-0.580230	0.000000	19.009164	0.011002	2.1
11	-0.582266	0.000000	19.009164	0.011227	2.1
12	-0.584535	0.000000	19.009164	0.011112	2.1
13	-0.587115	0.000000	19.009164	0.012785	2.0
14	-0.590106	0.000000	19.009164	0.012536	2.1
15	-0.592777	0.000000	19.009164	0.011915	2.0
16	-0.595279	0.000000	19.009164	0.010828	2.1
17	-0.597236	0.000000	19.009164	0.009244	2.1
18	-0.598515	0.000000	19.009164	0.007817	2.2
19	-0.599442	0.000000	19.009164	0.006653	2.1
20	-0.599877	0.000000	19.009164	0.005845	2.1
21	-0.600280	0.000000	19.009164	0.005233	2.1
22	-0.600847	0.000000	19.009164	0.004761	2.1
23	-0.601186	0.000000	19.009164	0.004335	2.0
24	-0.601648	0.000000	19.009164	0.004019	2.1
25	-0.602110	0.000000	19.009164	0.003712	2.0
26	-0.602379	0.000000	19.009164	0.003453	2.1
27	-0.602617	0.000000	19.009164	0.003279	2.1
28	-0.602836	0.000000	19.009164	0.003124	2.1
29	-0.603036	0.000000	19.009164	0.002916	2.1
30	-0.603239	0.000000	19.009164	0.002790	2.1
31	-0.603459	0.000000	19.009164	0.002678	2.0
32	-0.603662	0.000000	19.009164	0.002687	2.1
33	-0.603841	0.000000	19.009164	0.002636	2.1
34	-0.603994	0.000000	19.009164	0.002693	2.2
35	-0.604150	0.000000	19.009164	0.002666	2.2
36	-0.604302	0.000000	19.009164	0.002687	2.1
37	-0.604453	0.000000	19.009164	0.002636	2.1
38	-0.604599	0.000000	19.009164	0.002682	2.2
39	-0.604746	0.000000	19.009164	0.002632	2.1
40	-0.604888	0.000000	19.009164	0.002574	2.3
41	-0.605025	0.000000	19.009164	0.002601	2.1
42	-0.605161	0.000000	19.009164	0.002614	2.1
43	-0.605298	0.000000	19.009164	0.002627	2.1
44	-0.605433	0.000000	19.009164	0.002593	2.1
