1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.165067	0.000000	107.195318	0.003568	9.8
1	-0.162821	0.000000	107.195318	0.002841	1.1
2	-0.166033	0.000000	107.195318	0.002692	1.0
3	-0.169730	0.000000	107.195318	0.002784	1.0
4	-0.171560	0.000000	107.195318	0.002981	1.0
5	-0.173528	0.000000	107.195318	0.003274	1.0
6	-0.175703	0.000000	107.195318	0.003606	1.0
7	-0.179985	0.000000	107.195318	0.003970	1.1
8	-0.179222	0.000000	107.195318	0.004120	1.1
9	-0.181839	0.000000	107.195318	0.004202	1.0
10	-0.184431	0.000000	107.195318	0.006461	1.0
11	-0.191240	0.000000	107.195318	0.007086	1.1
12	-0.200940	0.000000	107.195318	0.007126	1.0
13	-0.207541	0.000000	107.195318	0.005210	1.1
14	-0.208157	0.000000	107.195318	0.004738	1.1
15	-0.202072	0.000000	107.195318	0.003912	1.0
16	-0.203635	0.000000	107.195318	0.003610	1.1
17	-0.205030	0.000000	107.195318	0.003656	1.1
18	-0.206518	0.000000	107.195318	0.004002	1.1
19	-0.208377	0.000000	107.195318	0.004739	1.0
20	-0.211049	0.000000	107.195318	0.005793	1.1
21	-0.216867	0.000000	107.195318	0.006596	1.1
22	-0.223374	0.000000	107.195318	0.006279	1.0
23	-0.231059	0.000000	107.195318	0.005596	1.1
24	-0.229864	0.000000	107.195318	0.006002	1.0
25	-0.232089	0.000000	107.195318	0.004638	1.0
26	-0.225227	0.000000	107.195318	0.006825	1.0
27	-0.227350	0.000000	107.195318	0.008101	1.1
28	-0.226564	0.000000	107.195318	0.009109	1.0
29	-0.235605	0.000000	107.195318	0.010128	1.0
30	-0.246728	0.000000	107.195318	0.009566	1.0
31	-0.257504	0.000000	107.195318	0.009716	1.1
32	-0.267619	0.000000	107.195318	0.010783	1.1
33	-0.281928	0.000000	107.195318	0.010647	1.1
34	-0.293893	0.000000	107.195318	0.010483	1.1
35	-0.302984	0.000000	107.195318	0.010275	1.1
36	-0.313813	0.000000	107.195318	0.012538	1.1
37	-0.330170	0.000000	107.195318	0.010626	1.1
38	-0.332322	0.000000	107.195318	0.007752	1.1
39	-0.332640	0.000000	107.195318	0.009627	1.1
40	-0.343155	0.000000	107.195318	0.014283	1.1
41	-0.365520	0.000000	107.195318	0.012574	1.1
42	-0.379153	0.000000	107.195318	0.005622	1.1
43	-0.381656	0.000000	107.195318	0.005706	1.1
44	-0.389286	0.000000	107.195318	0.005430	1.1
45	-0.390372	0.000000	107.195318	0.003821	1.1
46	-0.393332	0.000000	107.195318	0.003899	1.1
47	-0.397815	0.000000	107.195318	0.004257	1.1
48	-0.403742	0.000000	107.195318	0.004893	1.2
49	-0.410179	0.000000	107.195318	0.005503	1.1
50	-0.414766	0.000000	107.195318	0.005829	1.1
51	-0.421481	0.000000	107.195318	0.005867	1.1
52	-0.428100	0.000000	107.195318	0.006102	1.1
53	-0.435814	0.000000	107.195318	0.006977	1.1
54	-0.438690	0.000000	107.195318	0.009911	1.1
55	-0.451806	0.000000	107.195318	0.009667	1.1
56	-0.463386	0.000000	107.195318	0.009550	1.1
57	-0.472724	0.000000	107.195318	0.004548	1.1
58	-0.474855	0.000000	107.195318	0.002570	1.1
59	-0.476151	0.000000	107.195318	0.002285	1.1
60	-0.477633	0.000000	107.195318	0.001955	1.1
61	-0.478426	0.000000	107.195318	0.001950	1.1
62	-0.478613	0.000000	107.195318	0.001837	1.1
63	-0.480240	0.000000	107.195318	0.001709	1.1
64	-0.479708	0.000000	107.195318	0.001572	1.1
65	-0.480188	0.000000	107.195318	0.001664	1.1
66	-0.481752	0.000000	107.195318	0.001462	1.1
67	-0.480883	0.000000	107.195318	0.001523	1.1
68	-0.481561	0.000000	107.195318	0.001487	1.1
69	-0.481510	0.000000	107.195318	0.001607	1.1
70	-0.481537	0.000000	107.195318	0.002001	1.1
71	-0.481035	0.000000	107.195318	0.001541	1.1
72	-0.481139	0.000000	107.195318	0.002628	1.1
73	-0.481409	0.000000	107.195318	0.003239	1.1
74	-0.481849	0.000000	107.195318	0.003562	1.1
75	-0.481948	0.000000	107.195318	0.003744	1.1
76	-0.483172	0.000000	107.195318	0.003904	1.1
77	-0.483421	0.000000	107.195318	0.003242	1.1
78	-0.484791	0.000000	107.195318	0.003404	1.0
79	-0.484847	0.000000	107.195318	0.003466	1.1
80	-0.485035	0.000000	107.195318	0.004907	1.0
81	-0.488711	0.000000	107.195318	0.004949	1.1
82	-0.491068	0.000000	107.195318	0.004574	1.0
83	-0.489607	0.000000	107.195318	0.005388	1.1
84	-0.493397	0.000000	107.195318	0.007308	1.1
85	-0.507291	0.000000	107.195318	0.007447	1.0
86	-0.521453	0.000000	107.195318	0.006345	1.1
87	-0.505311	0.000000	107.195318	0.003912	1.1
88	-0.519907	0.000000	107.195318	0.002602	1.1
89	-0.523178	0.000000	107.195318	0.003571	1.1
90	-0.513621	0.000000	107.195318	0.003473	1.1
91	-0.517000	0.000000	107.195318	0.003306	1.1
92	-0.518013	0.000000	107.195318	0.003649	1.1
93	-0.517050	0.000000	107.195318	0.004456	1.1
94	-0.517622	0.000000	107.195318	0.005156	1.1
95	-0.516548	0.000000	107.195318	0.003036	1.0
96	-0.518093	0.000000	107.195318	0.002456	1.1
97	-0.519134	0.000000	107.195318	0.001360	1.0
98	-0.519287	0.000000	107.195318	0.000951	1.1
99	-0.519344	0.000000	107.195318	0.000934	1.1
100	-0.520567	0.000000	107.195318	0.001872	1.1
101	-0.520057	0.000000	107.195318	0.001880	1.1
102	-0.520777	0.000000	107.195318	0.001381	1.0
103	-0.521164	0.000000	107.195318	0.001231	1.1
104	-0.521474	0.000000	107.195318	0.001129	1.1
105	-0.521719	0.000000	107.195318	0.001001	1.1
106	-0.521953	0.000000	107.195318	0.000941	1.1
107	-0.522166	0.000000	107.195318	0.000934	1.0
