1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.444983	0.000000	48.724087	0.008467	548.8
1	-0.447619	0.000000	48.724087	0.003658	70.4
2	-0.448180	0.000000	48.724087	0.002883	68.4
3	-0.448560	0.000000	48.724087	0.002222	65.7
4	-0.448761	0.000000	48.724087	0.001490	71.2
5	-0.448857	0.000000	48.724087	0.001457	71.1
6	-0.448957	0.000000	48.724087	0.001492	70.4
7	-0.449065	0.000000	48.724087	0.001556	73.0
8	-0.449175	0.000000	48.724087	0.001399	72.9
9	-0.449262	0.000000	48.724087	0.001288	68.8
10	-0.449334	0.000000	48.724087	0.001230	76.3
11	-0.449399	0.000000	48.724087	0.001200	70.1
12	-0.449462	0.000000	48.724087	0.001195	75.6
13	-0.449527	0.000000	48.724087	0.001224	72.2
14	-0.449596	0.000000	48.724087	0.001272	71.4
15	-0.449673	0.000000	48.724087	0.001368	70.8
16	-0.449768	0.000000	48.724087	0.001476	73.3
17	-0.449869	0.000000	48.724087	0.001494	73.8
18	-0.449965	0.000000	48.724087	0.001421	69.4
19	-0.450041	0.000000	48.724087	0.001174	72.1
20	-0.450092	0.000000	48.724087	0.001009	68.4
21	-0.450129	0.000000	48.724087	0.000926	69.7
22	-0.450162	0.000000	48.724087	0.000852	69.8
23	-0.450191	0.000000	48.724087	0.000813	66.9
24	-0.450218	0.000000	48.724087	0.000777	68.5
25	-0.450244	0.000000	48.724087	0.000754	69.1
26	-0.450269	0.000000	48.724087	0.000776	67.3
27	-0.450298	0.000000	48.724087	0.000838	68.3
28	-0.450335	0.000000	48.724087	0.000962	69.3
29	-0.450385	0.000000	48.724087	0.001086	67.9
30	-0.450450	0.000000	48.724087	0.001214	71.1
31	-0.450533	0.000000	48.724087	0.001348	69.1
32	-0.450637	0.000000	48.724087	0.001474	68.7
33	-0.450757	0.000000	48.724087	0.001507	67.7
34	-0.450882	0.000000	48.724087	0.001446	71.7
35	-0.450997	0.000000	48.724087	0.001385	70.1
36	-0.451097	0.000000	48.724087	0.001168	70.8
37	-0.451168	0.000000	48.724087	0.000886	71.8
38	-0.451211	0.000000	48.724087	0.000702	69.1
39	-0.451240	0.000000	48.724087	0.000554	67.2
40	-0.451260	0.000000	48.724087	0.000451	69.4
41	-0.451274	0.000000	48.724087	0.000412	72.3
42	-0.451285	0.000000	48.724087	0.000378	70.9
43	-0.451295	0.000000	48.724087	0.000363	72.6
44	-0.451305	0.000000	48.724087	0.000367	67.9
45	-0.451316	0.000000	48.724087	0.000391	69.0
46	-0.451328	0.000000	48.724087	0.000446	69.3
47	-0.451344	0.000000	48.724087	0.000497	65.7
48	-0.451363	0.000000	48.724087	0.000583	67.7
49	-0.451388	0.000000	48.724087	0.000676	68.3
50	-0.451420	0.000000	48.724087	0.000851	66.4
51	-0.451470	0.000000	48.724087	0.000988	69.4
52	-0.451531	0.000000	48.724087	0.000929	67.2
53	-0.451575	0.000000	48.724087	0.000539	70.7
54	-0.451592	0.000000	48.724087	0.000343	68.8
55	-0.451601	0.000000	48.724087	0.000253	70.2
56	-0.451606	0.000000	48.724087	0.000199	65.4
57	-0.451609	0.000000	48.724087	0.000169	66.1
58	-0.451612	0.000000	48.724087	0.000156	68.7
59	-0.451614	0.000000	48.724087	0.000129	70.2
60	-0.451616	0.000000	48.724087	0.000138	68.2
61	-0.451617	0.000000	48.724087	0.000120	66.6
62	-0.451619	0.000000	48.724087	0.000116	70.6
63	-0.451620	0.000000	48.724087	0.000098	69.8
64	-0.451621	0.000000	48.724087	0.000089	76.7
65	-0.451621	0.000000	48.724087	0.000089	73.3
66	-0.451622	0.000000	48.724087	0.000090	71.4
67	-0.451623	0.000000	48.724087	0.000092	76.9
68	-0.451624	0.000000	48.724087	0.000085	71.8
69	-0.451624	0.000000	48.724087	0.000085	71.7
70	-0.451625	0.000000	48.724087	0.000085	70.4
71	-0.451626	0.000000	48.724087	0.000078	72.5
72	-0.451627	0.000000	48.724087	0.000068	72.5
73	-0.451627	0.000000	48.724087	0.000055	70.2
74	-0.451627	0.000000	48.724087	0.000053	72.4
75	-0.451627	0.000000	48.724087	0.000053	69.9
76	-0.451628	0.000000	48.724087	0.000052	66.2
77	-0.451628	0.000000	48.724087	0.000051	70.3
78	-0.451628	0.000000	48.724087	0.000048	71.7
79	-0.451629	0.000000	48.724087	0.000044	69.8
80	-0.451629	0.000000	48.724087	0.000036	69.4
81	-0.451629	0.000000	48.724087	0.000034	73.4
82	-0.451629	0.000000	48.724087	0.000032	70.8
83	-0.451629	0.000000	48.724087	0.000030	72.0
84	-0.451629	0.000000	48.724087	0.000028	70.8
85	-0.451629	0.000000	48.724087	0.000025	76.4
86	-0.451629	0.000000	48.724087	0.000027	79.3
87	-0.451630	0.000000	48.724087	0.000023	77.6
88	-0.451630	0.000000	48.724087	0.000023	70.7
89	-0.451630	0.000000	48.724087	0.000018	72.7
90	-0.451630	0.000000	48.724087	0.000015	70.5
91	-0.451630	0.000000	48.724087	0.000013	76.4
92	-0.451630	0.000000	48.724087	0.000013	74.0
93	-0.451630	0.000000	48.724087	0.000012	72.7
94	-0.451630	0.000000	48.724087	0.000009	70.3
95	-0.451630	0.000000	48.724087	0.000008	72.0
96	-0.451630	0.000000	48.724087	0.000008	70.4
97	-0.451630	0.000000	48.724087	0.000007	69.9
98	-0.451630	0.000000	48.724087	0.000006	74.0
99	-0.451630	0.000000	48.724087	0.000005	70.4
100	-0.451630	0.000000	48.724087	0.000005	73.5
101	-0.451630	0.000000	48.724087	0.000005	70.2
102	-0.451630	0.000000	48.724087	0.000005	72.2
103	-0.451630	1.000000	46.509356	0.000005	70.4
104	-0.451630	2.000000	44.487210	0.000003	75.9
105	-0.451630	3.000000	42.633576	0.000004	73.8
106	-0.451630	3.979158	40.962383	0.000003	71.0
107	-0.451630	4.979158	39.385643	0.000003	74.3
108	-0.451630	5.979158	37.925788	0.000003	72.2
109	-0.451630	6.979158	36.570287	0.000003	73.1
110	-0.451630	7.979158	35.308336	0.000003	75.8
111	-0.451630	8.979158	34.130573	0.000004	72.5
112	-0.451630	9.979158	33.028846	0.000003	72.4
113	-0.451630	10.979158	31.996022	0.000002	73.7
114	-0.451630	10.969158	32.006030	0.000004	69.3
115	-0.451630	11.969158	31.035243	0.000003	76.5
116	-0.451630	12.969158	30.121613	0.000002	71.7
117	-0.451630	13.969158	29.260237	0.000003	72.2
118	-0.451630	14.969158	28.446755	0.000004	72.2
119	-0.451630	15.969158	27.677283	0.000003	72.8
120	-0.451630	16.969158	26.948341	0.000004	72.8
121	-0.451630	17.969158	26.256811	0.000004	72.5
122	-0.451630	18.969158	25.599885	0.000003	71.7
123	-0.451630	19.969158	24.975027	0.000004	75.3
124	-0.451630	20.969158	24.379947	0.000003	71.9
125	-0.451630	21.969158	23.812564	0.000003	70.0
126	-0.451630	22.969158	23.270990	0.000003	71.5
127	-0.451630	23.969158	22.753502	0.000003	75.3
128	-0.451630	24.969158	22.258529	0.000003	68.7
129	-0.451630	25.969158	21.784632	0.000003	72.9
130	-0.451630	26.969158	21.330494	0.000003	69.4
131	-0.451630	27.969158	20.894904	0.000003	72.3
132	-0.451630	28.969158	20.476748	0.000003	73.2
133	-0.451630	29.969158	20.075000	0.000003	70.6
134	-0.451630	30.969158	19.688713	0.000003	68.6
135	-0.451630	31.969158	19.317011	0.000003	70.9
136	-0.451630	32.969158	18.959085	0.000002	74.8
137	-0.451630	33.969158	18.614181	0.000001	71.1
138	-0.451630	34.969158	18.281601	0.000001	73.5
139	-0.451630	35.969158	17.960698	0.000002	71.4
140	-0.451630	36.969158	17.650866	0.000001	69.7
141	-0.451630	37.969158	17.351542	0.000000	67.0
142	-0.451630	38.969158	17.062201	0.000000	70.7
143	-0.451630	38.959158	17.065047	0.000001	70.8
144	-0.451630	39.959158	16.785104	0.000002	67.6
145	-0.451630	40.959158	16.514198	0.000001	71.5
146	-0.451630	41.959158	16.251898	0.000001	73.8
147	-0.451630	42.959158	15.997800	0.000001	73.0
148	-0.451630	43.959158	15.751525	0.000002	71.2
149	-0.451630	44.959158	15.512718	0.000001	71.8
150	-0.451630	45.959158	15.281044	0.000001	68.7
151	-0.451630	46.959158	15.056188	0.000001	73.0
152	-0.451630	47.959158	14.837853	0.000002	71.2
153	-0.451630	48.959158	14.625760	0.000001	72.3
154	-0.451630	49.959158	14.419645	0.000000	71.9
155	-0.451630	50.959158	14.219258	0.000000	66.7
156	-0.451630	50.949158	14.221234	0.000001	69.4
157	-0.451630	51.949158	14.026287	0.000002	70.8
158	-0.451630	52.949158	13.836612	0.000001	73.9
159	-0.451630	53.949158	13.651999	0.000001	71.5
160	-0.451630	54.949158	13.472247	0.000001	69.0
161	-0.451630	55.949158	13.297167	0.000002	69.1
162	-0.451630	56.949158	13.126580	0.000001	72.0
163	-0.451630	57.949158	12.960313	0.000001	70.0
164	-0.451630	58.949158	12.798206	0.000001	72.6
165	-0.451630	59.949158	12.640105	0.000002	71.8
166	-0.451630	60.949158	12.485861	0.000001	72.7
167	-0.451630	61.949158	12.335337	0.000001	70.6
168	-0.451630	62.949158	12.188399	0.000001	72.2
169	-0.451630	63.934694	12.046971	0.000002	71.8
170	-0.451630	64.934694	11.906784	0.000001	70.0
171	-0.451630	65.934694	11.769822	0.000001	71.1
172	-0.451630	66.934694	11.635974	0.000001	72.2
173	-0.451630	67.934694	11.505137	0.000002	70.7
174	-0.451630	68.934694	11.377209	0.000001	73.1
175	-0.451630	69.934694	11.252095	0.000001	67.3
176	-0.451630	69.924694	11.253333	0.000002	69.8
177	-0.451630	70.924694	11.130914	0.000001	69.0
178	-0.451630	71.924694	11.011129	0.000001	69.0
179	-0.451630	72.924694	10.893896	0.000001	74.7
180	-0.451630	73.924694	10.779132	0.000001	69.0
181	-0.451630	74.924694	10.666761	0.000001	72.3
182	-0.451630	75.828938	10.567149	0.000001	73.1
183	-0.451630	76.828938	10.459133	0.000002	75.3
184	-0.451630	77.828938	10.353302	0.000001	73.3
185	-0.451630	78.828938	10.249591	0.000001	74.5
186	-0.451630	78.818938	10.250618	0.000002	75.9
187	-0.451630	79.818938	10.148945	0.000001	74.1
188	-0.451630	80.818938	10.049268	0.000001	74.2
189	-0.451630	81.818938	9.951531	0.000001	75.6
190	-0.451630	82.818938	9.855676	0.000001	73.4
191	-0.451630	83.818938	9.761650	0.000001	71.7
192	-0.451630	83.809990	9.762484	0.000001	71.9
193	-0.451630	84.809990	9.670219	0.000001	73.1
194	-0.451630	85.809990	9.579683	0.000001	73.3
195	-0.451630	85.800743	9.580512	0.000001	71.9
196	-0.451630	86.800741	9.491640	0.000001	75.9
197	-0.451630	87.800741	9.404401	0.000000	72.7
198	-0.451630	87.790749	9.405265	0.000001	72.7
199	-0.451630	88.790749	9.319600	0.000001	74.5
200	-0.451630	89.790749	9.235481	0.000001	73.6
201	-0.451630	89.807738	9.234065	0.000001	76.5
202	-0.451630	90.807738	9.151476	0.000001	73.4
203	-0.451630	91.807738	9.070351	0.000001	73.9
204	-0.451630	91.872162	9.065174	0.000001	72.8
205	-0.451630	92.872162	8.985566	0.000001	73.4
206	-0.451630	93.872162	8.907344	0.000001	75.2
207	-0.451630	94.872162	8.830472	0.000001	73.2
208	-0.451630	95.872162	8.754915	0.000000	74.3
209	-0.451630	95.862162	8.755664	0.000001	70.9
210	-0.451630	96.862162	8.681377	0.000001	70.7
211	-0.451630	97.862162	8.608339	0.000001	72.8
212	-0.451630	97.852346	8.609050	0.000001	72.7
